from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.93125480205427,0.0,0.01213150551983501,0.04043835173278337,0.008087670346556674,0.0,0.008087670346556674
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.13597220123885784,0.0,99.40701012237498,0.4192476204864783,0.003777005589968273,0.0,0.03399305030971446
Grassland,0.06157093851701997,0.0,0.10555018031489136,99.81528718444895,0.00879584835957428,0.0,0.00879584835957428
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.15360983102918588,0.0,0.0,0.15360983102918588,0.0,0.0,99.69278033794163
