from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,96.45182773420157,0.0,2.020127275418085,1.2875536480686696,0.08879680331508066,0.0,0.15169453899659613
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.005574895625565232,0.0,99.97584211895588,0.017344119723980724,0.0006194328472850258,0.0,0.0006194328472850258
Grassland,0.004150095106346187,0.0006916825177243646,0.040809268545737507,99.8948642573059,0.0013833650354487291,0.0,0.05810133148884662
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.008780402142418122,0.0,0.0010975502678022653,0.02990824479761173,0.0,0.0,99.96021380279217
