from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,98.64701479647648,0.0,0.26483965685992283,1.0536012435949105,0.03454430306868559,0.0,0.0
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.20282016611937415,0.0,98.10218273131157,1.6467065868263475,0.04829051574270813,0.0,0.0
Grassland,1.8306902985074627,0.0,3.591417910447761,94.1347947761194,0.4314365671641791,0.0,0.011660447761194029
Urban,0.0,0.0,0.1890359168241966,2.142407057340895,97.66855702583491,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,25.0,0.0,0.0,75.0
