from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.96929781123106,0.0,0.0,0.003961572744379519,0.0,0.0,0.026740616024561754
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.10034115994380895,0.0,99.69897652016857,0.16054585591009432,0.0,0.0,0.04013646397752358
Grassland,0.20533285663901518,0.0,0.0,99.76278015856528,0.0,0.0,0.03188698479570588
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.5765765765765766,0.0,0.0,0.055598455598455596,0.0,0.0,99.36782496782497
