from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.5797801927162,0.0030785333866945788,0.2647538712557338,0.14930886925468706,0.0,0.0,0.0030785333866945788
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.09406367982269641,0.0,99.77063924645972,0.13529707371757704,0.0,0.0,0.0
Grassland,0.11251086752697703,0.0,0.3017336901859839,99.5806413119449,0.0017047101140451068,0.0,0.0034094202280902136
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
