from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,94.76439790575915,4.712041884816754,0.20942408376963353,0.31413612565445026,0.0,0.0,0.0
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.1257229067136032,99.81141563992959,0.0628614533568016,0.0,0.0,0.0
Grassland,0.01266784899923993,6.599949328604003,0.6967316949581961,92.66531542944007,0.02533569799847986,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
