from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.97315333282198,0.0,0.0,0.019176190841451255,0.0,0.0,0.007670476336580502
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.29271968467424064,0.0019321431331633045,99.62323208903315,0.07631965375995053,0.0,0.0,0.005796429399489914
Grassland,5.526328728059394,0.009833325138895717,0.034416637986135014,94.12212989822508,0.08604159496533753,0.0,0.2212498156251536
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,6.268806419257773,0.0,0.0,1.60481444332999,0.0,0.0,92.12637913741224
