from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.605234928127,0.0,0.06007294571980262,0.25960094400343275,0.049345633984123574,0.0,0.025745548165629694
TreeCrops,0.0,99.66101694915255,0.0847457627118644,0.2542372881355932,0.0,0.0,0.0
Forest,0.030473868657626083,0.0,99.68002437909492,0.28950175224744784,0.0,0.0,0.0
Grassland,0.023434507312016947,0.0,0.06850086752743414,99.34518578606999,0.002703981612925032,0.0,0.5601748574776358
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0006525115168282721,0.0,0.0,0.028710506740443967,0.0013050230336565441,0.0,99.96933195870908
