from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,98.47731510254818,1.3776672881707066,0.04143360265175057,0.10358400662937642,0.0,0.0,0.0
TreeCrops,0.0,99.8094512195122,0.1524390243902439,0.0,0.038109756097560975,0.0,0.0
Forest,0.06686478454680535,0.26498266468548787,96.99108469539375,2.6399207528479445,0.014858841010401188,0.0,0.022288261515601784
Grassland,0.001527463799107961,0.5025355899065193,0.06720840716075029,99.42872853913363,0.0,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
