from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.78632478632478,0.0,0.0641025641025641,0.1495726495726496,0.0,0.0,0.0
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.014379460900938588,0.0,99.28887029726268,0.6967502418363879,0.0,0.0,0.0
Grassland,0.04918990377225075,0.0,0.08915670058720447,99.85857902665478,0.003074368985765672,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.7194244604316548,0.7194244604316548,0.0,0.0,98.56115107913669
