from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,98.99991320060917,0.07669909807542079,0.009626841527984913,0.3896503562720451,0.018622414759052783,0.0,0.5054880887563226
TreeCrops,0.0,99.66727162734422,0.21173623714458562,0.12099213551119178,0.0,0.0,0.0
Forest,0.017844396859386154,0.02470762642068852,99.70899906660078,0.20726953275133145,0.006863229561302366,0.0,0.034316147806511835
Grassland,0.10610586519812562,0.0002831377323499016,0.009201976301371801,99.24522558998825,0.003185299488936393,0.0,0.6359981312909665
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.008387237864431536,2.7508159607843676e-06,6.877039901960919e-05,0.02367352215851027,0.0016945026318431705,0.0,99.96617321613024
