from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.99601733256867,0.0015930669725355254,0.0,0.0015930669725355254,0.0007965334862677627,0.0,0.0
TreeCrops,0.0,95.13274336283186,4.646017699115045,0.22123893805309736,0.0,0.0,0.0
Forest,0.11344299489506524,0.0802401671208998,99.53931076463346,0.258705366407039,0.006917255786284466,0.0,0.001383451157256893
Grassland,0.007515281071512074,0.02421590567487224,0.04091653027823241,99.92651725174522,0.0008350312301680083,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
