from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.85996639193407,0.0,0.012002880691365927,0.10402496599183804,0.004000960230455309,0.0,0.020004801152276548
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0446531263954102,0.0,99.2801374775043,0.5683125177597662,0.01082500033828126,0.0,0.09607187800224619
Grassland,0.04106294362644453,0.0,0.24637766175866724,99.60110283334312,0.01173226960755558,0.0,0.09972429166422245
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.030892801977139325,0.030892801977139325,0.0,99.93821439604572
