from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.81621621621622,0.010810810810810811,0.010810810810810811,0.16216216216216214,0.0,0.0,0.0
TreeCrops,0.0,99.13793103448276,0.8620689655172413,0.0,0.0,0.0,0.0
Forest,0.007637668983426257,0.001272944830571043,99.39535120547876,0.5957381807072482,0.0,0.0,0.0
Grassland,0.030374802703543792,0.006149499933846289,0.01621231800741294,99.94651798542382,0.0007453939313753077,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
