from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,913.0,0.0,0.0,0.0,0.0,0.0,1.0
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.0,776.0,11.0,0.0,0.0,5.0
Grassland,1.0,0.0,0.0,138907.0,0.0,0.0,54.0
Urban,0.0,0.0,0.0,0.0,61.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,18.0,0.0
Other,0.0,0.0,0.0,55.0,0.0,0.0,26807.0
