from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.94195963233203,0.0,0.0,0.03731166492940396,0.0,0.0,0.020728702738557758
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.020843755210938803,0.0,99.65190928797732,0.19801567450391863,0.0,0.0,0.12923128230782058
Grassland,0.11792038824926429,0.0,0.0016521245288863649,99.71376942537043,0.0,0.0,0.16665806185141205
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.018698595020314256,0.0,0.0,0.06902108115793419,0.0,0.0,99.91228032382176
