from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,54349.0,0.0,131.0,171.0,6.0,0.0,1.0
TreeCrops,0.0,457.0,4.0,1.0,0.0,0.0,0.0
Forest,33.0,0.0,17265.0,143.0,8.0,0.0,0.0
Grassland,213.0,0.0,600.0,12001.0,22.0,0.0,4.0
Urban,0.0,0.0,0.0,0.0,6600.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,1106.0,0.0
Other,2.0,0.0,3.0,6.0,0.0,0.0,33.0
