from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.57582184517497,0.0,0.2120890774125133,0.10604453870625664,0.0,0.0,0.10604453870625664
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.00438288920056101,0.0438288920056101,99.9211079943899,0.030680224403927068,0.0,0.0,0.0
Grassland,0.0,0.0,0.1218981279930344,99.79973878972574,0.0087070091423596,0.0,0.0696560731388768
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.06618133686300463,0.0,0.0,99.933818663137
