from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.64912280701755,0.0,0.23391812865497078,0.11695906432748539,0.0,0.0,0.0
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.004377325454147516,0.008754650908295032,99.94747209455022,0.03939592908732764,0.0,0.0,0.0
Grassland,0.00869338433452143,0.0,0.13040076501782144,99.80874554464053,0.00869338433452143,0.0,0.04346692167260714
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.04385003288752467,0.0,0.0,99.95614996711247
