from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,98.78061940217978,0.8740692780835222,0.14028272364303443,0.17265565986835005,0.03237293622531564,0.0,0.0
TreeCrops,0.0,99.69617176422929,0.17554520288974412,0.06751738572682466,0.05401390858145972,0.0,0.006751738572682465
Forest,0.1479909530058917,0.06701477117247927,99.416413034373,0.32111244520146315,0.044676514114986174,0.0,0.002792282132186636
Grassland,0.06643341157712919,0.2701625404136587,0.046503388103990434,99.59475618937951,0.01993002347313876,0.0,0.002214447052570973
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
