from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.92779234598868,0.0,0.015201611370805305,0.057006042640519894,0.0,0.0,0.0
TreeCrops,0.0,80.35714285714286,18.993506493506494,0.6493506493506493,0.0,0.0,0.0
Forest,0.1671402306535183,0.0,99.11415677753635,0.7187029918101286,0.0,0.0,0.0
Grassland,0.03835990111669934,0.0,0.0042622112351888165,99.95737788764811,0.0,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.0,0.0,0.0,100.0
