from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.85500569136538,0.0,0.0013550869965851808,0.05962382784974796,0.005420347986340723,0.0,0.07859504580194049
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.005705808513066301,0.0,99.80600251055574,0.18829168093118795,0.0,0.0,0.0
Grassland,0.020502195893086442,0.0,0.0032371888252241752,99.97356295792733,0.0005395314708706958,0.0,0.0021581258834827833
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0037597142226571123,0.0,0.0,0.016747817900927137,4.882745743710535e-05,0.0,99.97944364041898
