from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.95308976093821,0.0,0.0,0.027063599458728015,0.0,0.0,0.019846639603067207
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.011750651181919666,0.0,99.85703374395331,0.1312156048647696,0.0,0.0,0.0
Grassland,0.0025376796628399758,0.0,0.0062465960931445555,99.89458869092819,0.00019520612791076736,0.0,0.09643182718791908
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0009196445267355991,0.0,0.0,0.06084981285233881,0.0,0.0,99.93823054262091
