from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.91167638226462,0.0,0.04239533651298357,0.04239533651298357,0.0,0.0,0.0035329447094152974
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.07460474147339477,0.0,99.88890735003307,0.03648790849353806,0.0,0.0,0.0
Grassland,0.8320286289420711,0.0,0.328039961231641,98.80563632297024,0.004473272198613286,0.0,0.029821814657421907
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.025533001404315078,0.0,0.038299502106472615,0.24256351334099321,0.0,0.0,99.69360398314822
