from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,99.93797167373101,0.0,0.0,0.06202832626899617,0.0,0.0,0.0
TreeCrops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest,0.0,0.0,99.24914675767918,0.7098976109215017,0.0,0.0,0.040955631399317405
Grassland,0.011274119419310887,0.0,0.0004797497625238676,99.98464800759925,0.0002398748812619338,0.0,0.0033582483376670726
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.14969680054804252,0.0,0.0,99.85030319945196
