from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,100.0,0.0,0.0,0.0,0.0,0.0,0.0
TreeCrops,0.0,98.88475836431226,0.37174721189591076,0.37174721189591076,0.37174721189591076,0.0,0.0
Forest,0.0,0.11261261261261261,99.81231231231232,0.05630630630630631,0.01876876876876877,0.0,0.0
Grassland,0.030303030303030304,10.424242424242426,0.06060606060606061,89.42424242424242,0.06060606060606061,0.0,0.0
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,1.0638297872340425,0.0,0.0,98.93617021276596
