from_label,Crops,TreeCrops,Forest,Grassland,Urban,Water,Other
Crops,96.9435154217763,0.0,1.3470828688219991,1.6536603493125233,0.055741360089186176,0.0,0.0
TreeCrops,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Forest,0.41302552062953785,0.0,99.08699621755575,0.49128298769618706,0.008695274118516587,0.0,0.0
Grassland,3.510072920528983,0.012359411692003462,2.1505376344086025,94.20343591645037,0.07415647015202076,0.0,0.04943764676801385
Urban,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Water,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Other,0.0,0.0,0.0,0.7407407407407408,0.0,0.0,99.25925925925925
